CAGR,Vol,Sharpe,Sortino,Max DD,Calmar,Win Rate,Beat SPY 5Y,Worst Mo,Best Mo,Lookback,K,Composite
0.5072064163764096,0.4630226186035646,0.30348909706511223,0.5937880298419602,-0.5147710546667537,0.9853048491717524,0.5019157088122606,1.0,-0.40117414541013907,0.5441579991985579,18,1,0.33799999999999997
0.45407060805508226,0.34911626533159784,0.3364730305055509,0.6771048974708315,-0.46490782028820754,0.9766895462708994,0.524904214559387,1.0,-0.26009532597811374,0.510470948126392,18,2,0.3355
0.4097422151704162,0.28379579425509427,0.3626440899294437,0.7362038507253312,-0.4505744486255415,0.9093773879551263,0.5363984674329502,1.0,-0.20814692000524623,0.3979574254756009,18,3,0.33599999999999997
0.4334629530763787,0.2538168449681772,0.4167795611420741,0.8201193765350488,-0.3568284538481611,1.2147656623281153,0.5747126436781609,1.0,-0.13929133567840463,0.31015386431658676,18,4,0.386
0.43745117625237384,0.24459402838909045,0.43286184609388023,0.921845726259591,-0.2840235470047809,1.5401933426491936,0.5555555555555556,1.0,-0.1357035152759564,0.39003489369965394,18,5,0.487
0.41998517571188154,0.2284253756859736,0.44349321457061747,0.8558528037836858,-0.2651435762944466,1.5839915172807377,0.5900383141762452,1.0,-0.1405132158579068,0.32521679722738744,18,6,0.491
0.4009947251763051,0.22340402348163718,0.43422087645059004,0.8485320364590266,-0.2798040302754852,1.4331270524641826,0.578544061302682,1.0,-0.14293570840658631,0.3117155351969766,18,7,0.4385
0.38627351194147175,0.2154400068837107,0.4336249699306156,0.842719364857557,-0.26958505966354607,1.4328446554996703,0.5823754789272031,1.0,-0.13040778498944144,0.2727902095232282,18,8,0.4195
0.38356607427971157,0.21003648109363623,0.44057002506752757,0.8831062858424302,-0.2549603159239815,1.5044148062401794,0.5747126436781609,1.0,-0.11514223251517475,0.2530905263997323,18,9,0.4575
0.37233589366352726,0.20077007686274168,0.4462733120295342,0.9030630513865356,-0.2490284757207924,1.4951538878669666,0.5747126436781609,1.0,-0.11429377759967438,0.22897536577128713,18,10,0.46249999999999997
0.38011421172467186,0.19349483639833132,0.4697376443753888,0.9473179514000754,-0.1822661312393212,2.0854900970360197,0.5823754789272031,1.0,-0.11578578368668181,0.21436264264814017,18,11,0.5475
0.36880511490592705,0.18690753903590834,0.47140787766329806,0.9605274712929032,-0.16225689378675534,2.272970388491634,0.5900383141762452,1.0,-0.11060356144375964,0.19801560657797265,18,12,0.5465
0.357491738726712,0.18248954898113443,0.46814389236365295,0.9298743217294119,-0.16792038261712786,2.128935946637415,0.5900383141762452,1.0,-0.11859293397529515,0.20137432133927657,18,13,0.508
0.35710184787118093,0.17736741544110612,0.4797248612013109,0.9736314900294618,-0.12863011381035658,2.776191649784804,0.5862068965517241,1.0,-0.11359943664776471,0.20343426298901424,18,14,0.5735
0.3472713443370903,0.17292540209118212,0.47839269486532965,0.9649613268135601,-0.12571048779932018,2.762469149681943,0.578544061302682,1.0,-0.11009062182476184,0.21317661540503002,18,15,0.5485
0.34819392039577557,0.1701589281278037,0.4865634040400568,0.9916929252318405,-0.10798834031823876,3.224365884035789,0.5938697318007663,1.0,-0.10497230998043877,0.21421301261811593,18,16,0.6385
0.3420033902250834,0.16588806505370735,0.48971148983563484,0.9913744710143991,-0.10910238299801778,3.134701377066137,0.5977011494252874,1.0,-0.10192153301630164,0.210602247503233,18,17,0.639
0.3370087669211934,0.16359803970640477,0.48922317023429035,0.9798868181583624,-0.11167096957596924,3.0178726682580463,0.5938697318007663,1.0,-0.10035793067720933,0.20611006707843804,18,18,0.598
0.3390890627683867,0.1614738619772981,0.49791493111332596,1.002550226779611,-0.10991844749683068,3.0849149573201875,0.6015325670498084,1.0,-0.09587610640455661,0.19237018845648013,18,19,0.6615
0.33449727292512077,0.1596541792448379,0.4967251942371036,0.9959665829653108,-0.10777097078330768,3.1037789721472016,0.6053639846743295,1.0,-0.09130261181329902,0.19794331966358744,18,20,0.6435
